requisito,exigencia,fonte_oficial
Escolaridade,"Diploma de conclusão de curso de graduação em QUALQUER área de formação, registrado e emitido por instituição reconhecida pelo MEC","Edital 2021, itens 2.1 e 3.3"
CNH (habilitação),"Categoria ""B"" ou superior, válida, sem impedimentos, sem adaptação veicular e sem restrição de locais/horários — exigida também durante todo o Curso de Formação","Edital 2021, itens 3.9 e 13.3-b"
Idade mínima,18 anos completos (requisito legal de investidura em cargo público),"Lei nº 8.112/1990, art. 5º, V"
Idade máxima,Não prevista no edital de 2021,Edital 2021 (ausência de previsão)
Altura mínima,Não prevista no edital de 2021,Edital 2021 (ausência de previsão)
Tatuagem,"Permitida. Só reprova tatuagem que viole valores constitucionais: ideologia terrorista/extremista, incitação à violência ou à criminalidade, discriminação ou preconceito","Edital 2021, Anexo V (com base no RE 898.450/SP do STF)"
Nacionalidade,"Brasileira, ou portuguesa amparada pelo Estatuto de Igualdade (CF, art. 12, § 1º)","Edital 2021, item 3.2"
Quitações,"Estar quite com as obrigações eleitorais e, para homens, com as militares","Edital 2021, itens 3.4 e 3.5"
Exame toxicológico,Autorizar a coleta de material para exames toxicológicos a qualquer tempo,"Edital 2021, item 3.11"
Investigação social,"Estende-se durante TODO o concurso, da inscrição à nomeação","Edital 2021, item 1.5"
Taxa de inscrição,"R$ 180,00 (isenção para inscritos no CadÚnico e doadores de medula óssea)","Edital 2021, item 7.1"
Validade do concurso,"2 anos a partir da homologação, prorrogável uma única vez por igual período","Edital 2021, item 23.30"
