classe,padrao,subsidio_2024_08,subsidio_2025_05,subsidio_2026_05
Terceira,I,11114.6,11670.33,12253.84
Terceira,II,11206.08,11766.38,12440.9
Terceira,III,11298.47,11863.4,12630.98
Segunda,I,13127.22,13783.58,14764.25
Segunda,II,13238.83,13900.77,14993.63
Segunda,III,13351.55,14019.13,15226.76
Segunda,IV,13465.41,14138.68,15463.72
Segunda,V,13580.4,14259.42,15704.54
Segunda,VI,13696.54,14381.37,15949.32
Primeira,I,14712.66,15448.3,17244.77
Primeira,II,15095.06,15849.82,17814.28
Primeira,III,15488.91,16263.36,18404.39
Primeira,IV,15894.59,16689.32,19015.88
Primeira,V,16312.45,17128.07,19649.56
Primeira,VI,16742.84,17579.98,20306.21
Especial,I,17629.42,18510.89,21524.32
Especial,II,18099.31,19004.28,22249.43
Especial,III,18583.31,19512.48,23000
