data,score,fase_oficial,noticias_30d
2026-07-30,41,pre-edital,15
2026-07-31,39,pre-edital,14
2026-08-01,40,pre-edital,15
2026-08-02,40,pre-edital,15
2026-08-03,41,pre-edital,16
2026-08-04,41,pre-edital,16
2026-08-05,41,pre-edital,16
2026-08-06,40,pre-edital,15
2026-08-07,40,pre-edital,15
2026-08-08,40,pre-edital,15
2026-08-09,40,pre-edital,15
2026-08-10,40,pre-edital,15
2026-08-11,40,pre-edital,15
2026-08-12,41,pre-edital,16
2026-08-13,41,pre-edital,16
2026-08-14,41,pre-edital,16
2026-08-15,40,pre-edital,15
2026-08-16,40,pre-edital,15
2026-08-17,40,pre-edital,15
2026-08-18,40,pre-edital,15
2026-08-19,38,pre-edital,14
2026-08-20,38,pre-edital,14
2026-08-21,39,pre-edital,15
2026-08-22,39,pre-edital,15
2026-08-23,37,pre-edital,13
2026-08-24,37,pre-edital,13
